,post_caption
2501,"Meet the team that won second place at G.R.E.E.N. Hospitality Hackathon 2020 and brought home the cash prize of HKD2,000!

Team Terre, consisting of the four members, Claire CHENG, Gisele WONG, Kary NG, Man Hiu CHOI, envisions using WhatsApp to connect small- and medium-sized restaurants with local farmers. 

The idea is to ensure stable produce supply and reduce food loss and waste. The business connects small- and medium-sized restaurants with local farmers to ensure stable supply of local produce while reducing post-harvest food loss. 
--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with @anonymised_user for Shared Impact and @anonymised_user and supported by the @anonymised_user of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user @anonymised_user Academy"
2502,"Meet the winning team of G.R.E.E.N. Hospitality Hackathon 2020, who won the cash prize of HKD5,000!

Team GroundsDown, consisting of the four members, Dorothy Erin Gan, Elle Rex, Gabriel Chan, and Jenny You, came up with the idea which they call an ""online dating system for trash"".

The solution is conceived to offer Hong Kong's hotel and hospitality industry an easier way to manage its waste. In essence, the platform will connect hotels and F&B outlets with resource recovery centres around Hong Kong. By entering the date, time, and location of waste collection, hotels and F&B outlets can then search for the price, service details, ratings, and customer reviews of different service providers, and can reach out to their preferred service providers accordingly. 

What do you think about this solution? 
--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user in partnership with @anonymised_user and @anonymised_user , and supported by the @anonymised_user .

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user @anonymised_user Academy"
2503,"Missed our G.R.E.E.N. Hackathon & Innovation Night 2020? Head over to our Instagram to see the highlights! We'll be posting more highlights of the event so stay tuned!
--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user in partnership with @anonymised_user and @anonymised_user , and supported by the @anonymised_user .

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user @anonymised_user Academy"
2505,"We would like to thank all those who have participated in this year's G.R.E.E.N. Hospitality Hackathon & Innovation Night in various capacities! 

Stay tuned to event highlights in the coming week, and other G.R.E.E.N. Hospitality activities!

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user in partnership with @anonymised_user and @anonymised_user , and supported by the @anonymised_user .

#greenhospitality #hackathon #waste #plastic #foodwaste #CircularEconomy #hackathon #sustainabilityleadership #hospitalityleadership #innovation"
2506,"G.R.E.E.N. Hospitality Hackathon & Innovation Night 2020 is happening/has concluded as we speak!

Thank you all for being part of this event for a more #sustainablefuture! 

---

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user in partnership with @anonymised_user and @anonymised_user , and supported by the @anonymised_user .

#greenhospitality #hackathon #waste #plastic #foodwaste #circulareconomy #innovation #designthinking #sustainabledevelopment #SDGs

@anonymised_user"
2507,"Thanks to the #organic, #fairtrade and #sustainably grown and sourced coffee sponsored by @anonymised_user and the #vegan @anonymised_user and #egglessless sandwiches and nuggets sponsored by @anonymised_user , participants are able to get their creative juice flowing! Very excited about their proposed solutions! Stay tuned to the live-streaming of the pitching sessions later! 

@anonymised_user 
#GreenHospitality #GreenHospitalityHackathon2020 #GHH2020 #SustainableDevelopment #SDGs #DesignThinking #Innovation #CircularEconomy #WasteReduction #FoodWasteReduction #climateaction"
2508,"We're thankful to Fung Academy for sponsoring the venue, the @anonymised_user , for the second day of the G.R.E.E.N. Hospitality Hackathon & Innovation Night! 

Today, 25 participants formed into 6 teams are busy hacking for sustainability solutions for the hospitality industry to help address the problems of waste, waste segregation and circularity, and food waste. 

Stay tuned to the live-streaming of the pitching sessions later today and meet the innovative minds!

#GreenHospitality #GreenHospitalityHackathon2020 #GHH2020 #SustainableDevelopment #SDGs #DesignThinking #Innovation #CircularEconomy #WasteReduction #FoodWasteReduction #ClimateAction

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user in partnership with @anonymised_user and supported by @anonymised_user

@anonymised_user
@anonymised_user"
2509,"See you tomorrow for G.R.E.E.N. Hospitality Hackathon 2020! We can't wait to hear about innovative ideas on tackling the major #sustainability challenges in the #HospitalityIndustry: Waste Segregation, Waste Reduction & Circularity of Waste, and #FoodWaste. 

Stay tuned to our social media channels for the live-streaming of the pitching sessions on Saturday!

More about the event: https://lnkd.in/duNb-mB
--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user in partnership with @anonymised_user , and supported by the @anonymised_user .

#greenhospitality #hackathon #waste #plastic #foodwaste #CircularEconomy #hackathon #sustainabilityleadership #hospitalityleadership #innovation"
2510,"G.R.E.E.N. Hospitality Hackathon and Innovation Night 2020 is happening this Friday and Saturday! We are thrilled to announce that 30 participants have signed up and formed 7 teams to pitch their innovative ideas for a sustainable future. Here, meet our judges and stay tuned for more updates!

--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with @anonymised_user , and supported by the @anonymised_user .

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user @anonymised_user Academy"
2511,"G.R.E.E.N. Hospitality Hackathon 2020 provides an opportunity for participants to tackle the major #sustainability challenges in the #HospitalityIndustry: Waste Segregation, Waste Reduction & Circularity of Waste, and #FoodWaste. 

We would like to express our deepest gratitude to the sponsors and partners of the Hackathon for their support and commitment:

Venue sponsors: 
The Garage (Deloitte), Fung Academy - Explorium HK @anonymised_user 

The goodies & gift sponsors:
Foodpanda @anonymised_user , Soaper Delights @anonymised_user , Sqwishful @anonymised_user ,
Lexngo @anonymised_user , Impact Berry Coffee @anonymised_user , Green Monday @anonymised_user 

Event partners:
Foundation for Shared Impact @anonymised_user , Carbonbase @anonymised_user , New Life Plastics Ltd, Mandarin Oriental - The Hotel Group @anonymised_user , Business Environment Council, Melco Resorts @anonymised_user , The HongKong and Shanghai Hotels, Ltd., Meraki Hospitality Group @anonymised_user , Big Idea Ventures @anonymised_user , HK Recycles @anonymised_user , Livinfarms @anonymised_user , Circular City @anonymised_user , Urban Spring @anonymised_user , Mango Materials @anonymised_user 

Media partners:
Green Queen @anonymised_user 

--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user @anonymised_user Academy"
2515,"Meet our next mentor at the G.R.E.E.N. Hospitality #Hackathon 2020:

Tim Parker is the founder of Hong Kong based tech startup and social enterprise, Circular City. He is also Head of Product Design & Engineering at ESF Island School, and has expertise in the areas of Circular Economy, Design Thinking, and applications of emerging technologies. He is a regular finalist in startup challenges and loves to talk about innovative ideas around waste!

If you have a thirst for fresh and new ideas about sustainability and waste. Come and join us:
https://lnkd.in/de5va59

--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#greenhospitality #hackathon #waste #plastic #foodwaste #circulareconomy @anonymised_user"
2516,"Meet our next mentor at the G.R.E.E.N. Hospitality #Hackathon 2020:

Joshua's role in The Hongkong and Shanghai Hotels, Limited (HSH) is to support the implementation of the group's Sustainable strategy across all operations worldwide, including the iconic Peninsula Hotels, commercial properties, clubs and services.
He has a broad range of experience in optimising company's sustainability performance, enhancing internal policies and guidelines, streamlining data management process for more effective ESG disclosure, engaging with internal stakeholders and identifying innovative collaboration opportunities. 

Interested in the hospitality sustainability strategy? Chat with Joshua and he can be your lighthouse! Come and join us: https://lnkd.in/de5va59

--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#greenhospitality #hackathon #waste #plastic #foodwaste #circulareconomy @anonymised_user"
2517,"Meet our next mentor of the G.R.E.E.N. Hospitality #Hackathon 2020:

Kimberley is a Supervisor with over 8 years of experience in providing subject matter expertise and advisory on sustainability-related disciplines, including carbon, water, energy efficiency, green buildings, health & safety, social impact, labour and human rights, sustainability reporting and stakeholder engagement to financial services and multinational companies.

Chat with Kimberley to deepen and broaden your perspectives towards sustainability. Come and join us:
https://lnkd.in/de5va59

---
G.R.E.E.N. Hospitality Hackathon is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#greenhospitality #hackathon #waste #plastic #foodwaste #circulareconomy @anonymised_user"
2518,"Meet our next mentor at the G.R.E.E.N. Hospitality #Hackathon 2020:

David Bishop is a founder of Soap Cycling - Asia's first and largest soap recycling charity that works with students, hotels, corporates and volunteers in recycling soap to reduce waste and prevent hygiene-related diseases. David is also a co-founder of the Fair Employment Agency and believes that many of society's largest problems can be addressed through social business, and sharing in the impact is the right and responsibility of the entire community.

David is very willing to hear your ideas and be your coach! Would you like to share with him? Come and join us:
https://lnkd.in/de5va59

--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#greenhospitality #hackathon #waste #plastic #foodwaste #circulareconomy @anonymised_user"
2519,"Meet our first mentor at the G.R.E.E.N. Hospitality #Hackathon 2020:

Crystal Chung is the marketing assistant of HK Recycles, a social enterprise that provides accountable and reliable recyclable collection services to commercial and residential clients. Aside from focusing on environmental protection, it also hired the disadvantaged as a full-time collector. She enjoys holding recycling games in recycling events to teach the kids how to recycle and preserve the environment. 

Inspired by Crystal's enthusiasm about environmental sustainability? Come and join us:
https://lnkd.in/de5va59

--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#greenhospitality #hackathon #waste #plastic #foodwaste #circulareconomy @anonymised_user"
2521,"Meet our next judge of the G.R.E.E.N. Hospitality #Hackathon 2020:

Lucia manages all the activities of the G.R.E.E.N. Hospitality and she has been keen on sustainability since university study, with strong research interests regarding the impact of tourism and the traditional food heritage. She holds a joint master degree in Tourism Management with a strong focus on ESG and creation of shared value awarded by the University of Southern Denmark, the University of Ljubljana (Slovenia) and the University of Girona (Spain). She hopes that the G.R.E.E.N. Hospitality with its initiatives and strategic partnerships can create a roadmap for innovative and sustainable practices in the industry across Asia and beyond. 

Come and share your ideas with Lucia! Then we can work together on creating a more sustainable world. Come and join us:
https://lnkd.in/de5va59

---
G.R.E.E.N. Hospitality Hackathon is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#greenhospitality #hackathon #waste #plastic #foodwaste #circulareconomy @anonymised_user"
2522,"Meet our next judge at the G.R.E.E.N. Hospitality #Hackathon 2020:

Simon Ng is a Director of Policy & Research at the Business Environment Council. He is responsible for BEC's work on policy advocacy, thought leadership development, and collaborative research on various environmental issues, including climate change, circular economy and sustainable living environment. Simon has over 20 years experience in academic/policy research, project management and stakeholder's engagement. 

Feeling excited to learn from Simon in academic or policy research? Come and join us: https://lnkd.in/de5va59
Register via the link in bio

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#greenhospitality #hackathon #waste #plastic #foodwaste #circulareconomy @anonymised_user"
2524,"G.R.E.E.N. Hospitality Conference 2020 #GHC20 is taking place on 24 Sep to gather hospitality professionals to talk about everything sustainability. On Panel 4: Circularity In The Hospitality Industry, we are pleased to welcome our speakers:

Gaelle Loiseau - CEO at Shared Value Project Hong Kong

Lucia Loposova - Sustainability Program Manager at G.R.E.E.N. Hospitality

Melanie Kwok - Group Senior Sustainability Manager at Sino Group

Bobsy Gaia - Founder & Ecopreneur of @anonymised_user

Lo Eli - Principal Designer at @anonymised_user

Register for free to secure your place at the G.R.E.E.N. Hospitality Conference 2020 here: https://lnkd.in/dbd4aQ5
Please register on the link in bio

Check out all our speakers and panels there:
https://lnkd.in/gNfiVUV

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user Cycling in partnership with @anonymised_user for Shared Impact and supported by the University of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user"
2525,"Have you registered for our conference #GHC20 on Thursday? We are going to discuss four main topics - #FoodWaste, the #plastic problem, waste management & treatment, and also the circularity in the #hospitality industry.

G.R.E.E.N. Hospitality Conference is going to be held on 24 Sep 2020 in Hong Kong, hosted by Soap Cycling and is funded by Environment Bureau's Sustainable Development Fund, in partnership with Foundation for Shared Impact (FSI) and the Faculty of Business and Economics of The University of Hong Kong (HKU).

We would like to express our deepest gratitude to the sponsors of conference for their support and commitment:

PUREALL
New World Development Company Limited
SpiceBox Organics Limited
Lily Fld Ltd. - Biological Straws

Even though the event is shifted online, we would like to appreciate our venue sponsors for their patience and flexibility in this difficult time. 

Venue sponsors: 

BluePrint - Swire Properties
The Loop - Rooftop Republic

Register for free to secure your place at the G.R.E.E.N. Hospitality Conference 2020 here: https://lnkd.in/dbd4aQ5
Please register on the link in bio

Check out all our speakers and panels there:
https://lnkd.in/gNfiVUV

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user"
2526,"G.R.E.E.N. Hospitality Conference 2020 #GHC20 is taking place on 24 Sep to gather hospitality professionals to talk about everything #sustainability. On Panel 3: Waste Management & Treatment, we are pleased to welcome our speakers:

Anne Copeland - Founding Partner and Advisor of Orca

Nigel Mattravers - Joint Venture Representative of New Life Plastics Limited 

Brian Taylor - Senior Editor at Recycling Today

David Bishop - Founder of Soap Cycling

Shirley Yuen - Senior Environmental Protection Officer - Waste Reduction and Recycling.

Register for free to secure your place at the G.R.E.E.N. Hospitality Conference 2020 here: https://lnkd.in/dbd4aQ5
Please click on the link in bio

Check out all our speakers and panels there:
https://lnkd.in/gNfiVUV

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user Cycling in partnership with @anonymised_user for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user"
2527,"G.R.E.E.N. Hospitality Conference 2020 #GHC20 is taking place on 24 Sep to gather hospitality professionals to talk about everything sustainability. On Panel 2: Plastic Waste, we are pleased to have:

Christelle Not - Assistant Professor at The University of Hong Kong

Dana Winograd - Director Operations at Plastic Free Seas

Carmen Ng - Director of Sustainability at the Langham Hospitality Group

Iris Lam - Director of Food & Beverage - Design and Sustainable Development at Mandarin Oriental Hotel Group

Doug Woodring - Founder and Managing Director of Ocean Recovery Alliance

Register to secure your place at the G.R.E.E.N. Hospitality Conference 2020 here: https://lnkd.in/dbd4aQ5
Register for free on the link in bio

Check out all our speakers and panels there:
https://lnkd.in/gNfiVUV

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user Cycling in partnership with @anonymised_user for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user"
2528,"G.R.E.E.N. Hospitality Conference 2020 #GHC20 is taking place on 24 Sep (this Thursday) to gather hospitality professionals to talk about everything sustainability. On Panel 1: Food, Waste & Climate Change, we are pleased to welcome our speakers:

Heidi Spurrell - CEO & Founder of Food Made Good

Meridith Beaujean - Director of Sustainability at Sands China Ltd.

Venisa Chu - Senior Manager of the Sustainability Department at New World Development Company Ltd.

Henry Ho - Sustainable Development Manager at Cathy Pacific - Catering Services

Register to secure your place: https://lnkd.in/dpqztgQ
Register for free on the link in bio

Check out our speakers and panels there!
https://lnkd.in/gNfiVUV

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the University of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user"
2529,"We are going virtual! In order to comply with the government rules and keep everyone safe, we have decided to go virtual with our G.R.E.E.N. Hospitality Conference 2020 #GHC20. This also allows us to have more of you interested in the topics of #waste and #circularity in the #hospitality industry to tune in and listen to the #leaders in #sustainability in Asia and beyond.

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with Foundation for Shared Impact, and supported by the HKU Business School.

LINK TO JOIN THE PANELS - LIMITED SEATS: https://lnkd.in/dpqztgQ
Register for free on the link in bio.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user"
2530,"2 days left to our second talk in our conference series and this time on #foodwaste! [?]

[?] Tune in on Thu (19 Sep) at 5:30pm (GMT +8).

To attend or receive the recording, register on our website - link in bio 

 Our next speaker, @anonymised_user Lephilibert, is a self-made Food Waste [?] solution designer who started his career in sustainability [?][?] in 2008 with Accor as a Green Globe certification manager for 45 Asian Novotel. 

After consulting for the UN, he founded LightBlue Environmental Consulting Co., Ltd. in 2012, with the vision to reconcile business excellence and sustainability. LightBlue, is a regional awareness raising, auditing, capacity building, consulting and technology firm working on food waste prevention across Asia and Europe with hotel groups (Marriott, Accor, IHG..), restaurants (Cofoco Denmark) as well as with International Organizations (Michelin Guide Thailand, WWF) and government agencies (TCEB). He is an international speaker, judge for awards on sustainability, guest-lecturer in Culinary Schools (Institute Paul Bocuse) and business schools (ESCP Europe) and a certified trainer for the Global Sustainable Tourism Council.

#sustainabilityleadership #hospitalityleadership #GHC20 #zerowaste"
2531,"Join these 3 public online events ahead of the G.R.E.E.N. Hospitality Conference 2020. Learn more about waste issues and how some companies are trying to solve these issues for the #hospitality industry. Registration links also through link in bio 

SAVE THE DATES!

2 Sep (Wed) @ 5:30pm (GMT +8) - the talk will revolve around #circulareconomy [?][?]  & #WasteManagement  with Tim Parker from @anonymised_user Register here: https://lnkd.in/dzj4nmB

10 Sep (Thu) @ 5:30pm (GMT +8) - Benjamin Lephilibert from LightBlue Environmental Consulting Co., Ltd. will discuss the topic of #foodwaste . Register here: https://lnkd.in/dVh9EgN

17 Sep (Thu) @ 5:30pm (GMT +8) - there will be a surprise guest on the topic of #Plastic  Register here: https://lnkd.in/dQEZ3Ms"
2554,"As the first hotel in Southeast Asia to introduce #plantbased alternatives such as Beyond Burger, Beyond Sausage, Just Egg and Omnipork to its menus, Grand Hyatt Singapore @anonymised_user has since 2010 been implementing sustainability initiatives to promote economic and environmental sustainability.

To minimize food waste, the hotel works with local startup Treatsure to let diners take out buffet items in the last hour of operating mealtime for $10 box each. 
A portion of the surplus food is donated to #socialenterprise food truck Kerbside Gourmet to be distributed to underprivileged communities twice a week. Meanwhile, the hotel also partners with Biomax Technologie to convert 1,000kg of daily food waste from the hotel's five restaurants, 16 event venues and 677 rooms to 300kg of organic pathogen-free fertilizers, which turns waste into treasure while saving the hotel 55,000 trash bags every year.

In addition to replacing #plasticstraws with paper alternatives last year, Grand Hyatt Singapore now uses aprons made from recycled plastic bottles (each apron is made with seven bottles and saves 86% water, 70% energy, and 75% CO2 emissions) and 100% compostable trash bags made from plant starch. 
Through its installation of a gas-powered Trigeneration Plant to provide 30% of its electricity needs, the hotel has been able to reduce its carbon footprint by 1,200 tonnes per year, equivalent to removing 300 cars off the roads.

What are the latest innovative sustainability initiatives at your hospitality business? What are the challenges and takeaways? 
#GHC2019 #GreenHospitalityConference #hongkong #sustainability #conference #hk #environmentalresponsibility #global #socialbusiness #socialgood #environmentallyfriendly #environment #hospitality #hospitalityindustry #sustainablehospitality #corporateresponsibility #leadership #purposebusiness #plasticreduction #singleuseplastic #foodwaste #carbonfootprint #compostable #recycled 
Source: https://www.citmagazine.com/article/1586941/5-ways-grand-hyatt-singapore-driving-sustainability"
5468,"#LoveYourFood! No matter how ""ugly"" they seem, they don't deserve the bin! 
 
We love that @anonymised_user is giving these berries a second chance in the kitchen! 
 
#reducefoodwaste #reducewaste 
#zerowastesg #uglybuttasty #uglyfruitandveg"
5469,"1 day left to win a chance to meet Tristram Stuart at @anonymised_user Hurry!

See link in bio to find out how. Contest ends 6 Aug, [?]2359.

#zerofoodwaste #loveyourfoodSG
#reducefoodwaste #natgeolive #zerowastesg"
